DATA;TÍTULO;VEICULO;CATEGORIA DO VEÍCULO;BLOCO TEMÁTICO;TEMA PRINCIPAL;TEMA 2;INFORMAÇÃO DUPLICADA;Categorias da Reparação Socioambiental;Assuntos relacionados à Categorias;URL;OBS
24/01/2024;Governo de Minas publica quinta edição de caderno técnico sobre a recuperação socioambiental em Brumadinho;IGAM;Portal de Notícias;Boletins informativos;Panorama Geral de Ações;;SIM;0 - Transversal;;http://www.igam.mg.gov.br/banco-de-noticias/2989-governo-de-minas-publica-quinta-edicao-de-caderno-especial-sobre-a-recuperacao-socioambiental-em-brumadinho?tmpl=component&print=1&page=;panorama geral
26/01/2024;Governo de Minas publica quinta edição de caderno técnico sobre a recuperação socioambiental em Brumadinho;SEMAD;Portal de Notícias;Boletins informativos;Panorama Geral de Ações;;SIM;0 - Transversal;;http://www.meioambiente.mg.gov.br/noticias/5966-governo-de-minas-publica-quinta-edicao-de-caderno-especial-sobre-a-recuperacao-socioambiental-em-brumadinho;panorama geral
01/02/2024;Reparação Brumadinho: Cartilha mostra ações realizadas em 3 anos de execução do Acordo Judicial;PRÓ-BRUMADINHO;Portal de Notícias;Boletins informativos;Panorama Geral de Ações;;NÃO;0 - Transversal;;https://www.mg.gov.br/pro-brumadinho/noticias/reparacao-brumadinho-cartilha-mostra-acoes-realizadas-em-3-anos-de-execucao;panorama geral
19/02/2024;Governo e Instituições de Justiça apresentam ações realizadas em 3 anos do acordo de reparação ao rompimento em Brumadinho;PRÓ-BRUMADINHO;Portal de Notícias;Boletins informativos;Panorama Geral de Ações;;SIM;0 - Transversal;;https://www.mg.gov.br/pro-brumadinho/noticias/governo-e-instituicoes-de-justica-apresentam-acoes-realizadas-em-3-anos-do-acordo;panorama geral
22/02/2024;Reparação Brumadinho: sete projetos para fortalecer saúde e infraestrutura são iniciados na região atingida;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Saúde;;NÃO;0 - Não aplicado;;https://www.agenciaminas.mg.gov.br/noticia/reparacao-brumadinho-sete-projetos-para-fortalecer-saude-e-infraestrutura-sao-iniciados-na-regiao-atingida;recursos do acordo para infraestrutura e saúde
05/03/2024;Reparação Brumadinho: Governo de Minas e Instituições de Justiça autorizam obras de infraestrutura e fortalecimento da Saúde em Pará de Minas;PRÓ-BRUMADINHO;Portal de Notícias;Meio Socioeconômico;Saúde;;SIM;0 - Não aplicado;;https://www.mg.gov.br/pro-brumadinho/noticias/reparacao-brumadinho-ordem-de-inicio-obras-para-de-minas;
05/03/2024;Governo de Minas e Instituições de Justiça seguem comprometidos com a fiscalização do cumprimento do Acordo de Brumadinho;PRÓ-BRUMADINHO;Portal de Notícias;Boletins informativos;Panorama Geral de Ações;;NÃO;0 - Não aplicado;;https://www.mg.gov.br/pro-brumadinho/noticias/governo-de-minas-e-instituicoes-de-justica-se-reunem-com-auditorias-de-brumadinho;fiscalização - panorama geral
11/03/2024;Agência Metropolitana conclui resumo executivo do Plano de Segurança Hídrica da RMBH;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Saúde;;NÃO;0 - Não aplicado;;https://www.agenciaminas.mg.gov.br/noticia/agencia-metropolitana-conclui-resumo-executivo-do-plano-de-seguranca-hidrica-da-rmbh;
04/04/2024;Secretaria de Saúde e Fapemig lançam edital de pesquisa para atenção à saúde;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Saúde;;NÃO;0 - Não aplicado;;https://www.agenciaminas.mg.gov.br/noticia/secretaria-de-saude-e-fapemig-lancam-edital-de-pesquisa-para-atencao-a-saude;
29/04/2024;Governo de Minas e Instituições de Justiça anunciam conclusão de obra da Biofábrica Método Wolbachia, em Belo Horizonte;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Saúde;;NÃO;0 - Não aplicado;;https://www.agenciaminas.mg.gov.br/noticia/governo-de-minas-e-instituicoes-de-justica-anunciam-conclusao-de-obra-da-biofabrica-metodo-wolbachia-em-belo-horizonte;
